fiscalDateEnding,reportedCurrency_cash_flow,operatingCashflow_cash_flow,paymentsForOperatingActivities_cash_flow,proceedsFromOperatingActivities_cash_flow,changeInOperatingLiabilities_cash_flow,changeInOperatingAssets_cash_flow,depreciationDepletionAndAmortization_cash_flow,capitalExpenditures_cash_flow,changeInReceivables_cash_flow,changeInInventory_cash_flow,profitLoss_cash_flow,cashflowFromInvestment_cash_flow,cashflowFromFinancing_cash_flow,proceedsFromRepaymentsOfShortTermDebt_cash_flow,paymentsForRepurchaseOfCommonStock_cash_flow,paymentsForRepurchaseOfEquity_cash_flow,paymentsForRepurchaseOfPreferredStock_cash_flow,dividendPayout_cash_flow,dividendPayoutCommonStock_cash_flow,dividendPayoutPreferredStock_cash_flow,proceedsFromIssuanceOfCommonStock_cash_flow,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet_cash_flow,proceedsFromIssuanceOfPreferredStock_cash_flow,proceedsFromRepurchaseOfEquity_cash_flow,proceedsFromSaleOfTreasuryStock_cash_flow,changeInCashAndCashEquivalents_cash_flow,changeInExchangeRate_cash_flow,netIncome_cash_flow,reportedCurrency_balance_sheet,totalAssets_balance_sheet,totalCurrentAssets_balance_sheet,cashAndCashEquivalentsAtCarryingValue_balance_sheet,cashAndShortTermInvestments_balance_sheet,inventory_balance_sheet,currentNetReceivables_balance_sheet,totalNonCurrentAssets_balance_sheet,propertyPlantEquipment_balance_sheet,accumulatedDepreciationAmortizationPPE_balance_sheet,intangibleAssets_balance_sheet,intangibleAssetsExcludingGoodwill_balance_sheet,goodwill_balance_sheet,investments_balance_sheet,longTermInvestments_balance_sheet,shortTermInvestments_balance_sheet,otherCurrentAssets_balance_sheet,otherNonCurrentAssets_balance_sheet,totalLiabilities_balance_sheet,totalCurrentLiabilities_balance_sheet,currentAccountsPayable_balance_sheet,deferredRevenue_balance_sheet,currentDebt_balance_sheet,shortTermDebt_balance_sheet,totalNonCurrentLiabilities_balance_sheet,capitalLeaseObligations_balance_sheet,longTermDebt_balance_sheet,currentLongTermDebt_balance_sheet,longTermDebtNoncurrent_balance_sheet,shortLongTermDebtTotal_balance_sheet,otherCurrentLiabilities_balance_sheet,otherNonCurrentLiabilities_balance_sheet,totalShareholderEquity_balance_sheet,treasuryStock_balance_sheet,retainedEarnings_balance_sheet,commonStock_balance_sheet,commonStockSharesOutstanding_balance_sheet,reportedCurrency_income_statement,grossProfit_income_statement,totalRevenue_income_statement,costOfRevenue_income_statement,costofGoodsAndServicesSold_income_statement,operatingIncome_income_statement,sellingGeneralAndAdministrative_income_statement,researchAndDevelopment_income_statement,operatingExpenses_income_statement,investmentIncomeNet_income_statement,netInterestIncome_income_statement,interestIncome_income_statement,interestExpense_income_statement,nonInterestIncome_income_statement,otherNonOperatingIncome_income_statement,depreciation_income_statement,depreciationAndAmortization_income_statement,incomeBeforeTax_income_statement,incomeTaxExpense_income_statement,interestAndDebtExpense_income_statement,netIncomeFromContinuingOperations_income_statement,comprehensiveIncomeNetOfTax_income_statement,ebit_income_statement,ebitda_income_statement,netIncome_income_statement,reportedDate_earnings,reportedEPS_earnings,estimatedEPS_earnings,surprise_earnings,surprisePercentage_earnings,reportTime_earnings
2012-03-31,USD,4291000000,None,None,None,None,1157000000,1097000000,None,None,3066000000,-2230000000,-2316000000,-2107000000,3015000000,3015000000,None,870000000,870000000,None,None,3906000000,None,-2396000000,None,-175000000,167000000,3062400000,USD,115347000000,48847000000,11835000000,12335000000,2754000000,25172000000,66500000000,13946000000,26496000000,31109000000,3641000000,27468000000,500000000,10549000000,500000000,1000000,4822000000,94563000000,38209000000,7416000000,None,6293000000,6293000000,56709000000,None,25760000000,None,25760000000,25760000000,4677000000,9112000000,20701000000,114020000000,107036000000,48800000000,1159100000,USD,11118000000,24673000000,13555000000,13310000000,2537000000,5886000000,1601000000,8548000000,None,-110000000,None,110000000,143000000,58000000,847000000,310000000,3831400000,769000000,110000000,3067000000,3107400000,3941400000,4251400000,3062400000,2012-04-17,2.78,2.65,0.13,4.9057,pre-market
2011-12-31,USD,7096000000,None,None,None,None,1741000000,1186000000,-1279000000,-163000000,5490000000,-3505000000,-2810000000,1205000000,3581000000,3581000000,None,880000000,880000000,None,None,3344000000,None,-3157000000,None,1237000000,-163000000,5489700000,USD,116433000000,50928000000,11922000000,11922000000,2595000000,28080000000,66929000000,13883000000,26241000000,29605000000,3392000000,26213000000,884000000,131000000,0,6850000000,4895000000,96197000000,42123000000,8517000000,None,8463000000,8463000000,59703000000,None,27161000000,4306000000,22857000000,27161000000,4535000000,8996000000,20138000000,110963000000,104857000000,48129000000,1163182565,USD,14722000000,29486000000,14764000000,14487000000,6179000000,6076000000,1555000000,9119000000,None,-113000000,None,113000000,90000000,43000000,888000000,853000000,7273700000,1784000000,113000000,5490000000,9081700000,7386700000,8239700000,5489700000,2012-01-19,4.71,4.62,0.09,1.9481,pre-market
2011-09-30,USD,3839000000,None,None,None,None,307000000,1472000000,None,None,3839000000,-805000000,-3669000000,-767000000,3444000000,3444000000,None,893000000,893000000,None,None,2996000000,None,-2966000000,None,3839000000,-615000000,3838100000,USD,110158000000,45373000000,11303000000,11303000000,2663000000,23864000000,64786000000,13887000000,26252000000,27946000000,3033000000,24913000000,None,9830000000,None,1000000,5422000000,87781000000,36028000000,7093000000,None,6071000000,6071000000,52163000000,None,24089000000,None,None,30160000000,4426000000,8654000000,22291000000,107434000000,100266000000,47558000000,1188600000,USD,12173000000,26157000000,13984000000,13708000000,4355000000,5662000000,1546000000,7925000000,None,-107000000,None,107000000,-131000000,-128000000,885000000,307000000,5026100000,1188000000,107000000,3839000000,2249100000,5133100000,5440100000,3838100000,2011-10-17,3.28,3.22,0.06,1.8634,pre-market
2011-06-30,USD,4279000000,None,None,None,None,309000000,951000000,None,None,3664000000,-584000000,-4903000000,-1252000000,3976000000,3976000000,None,905000000,905000000,None,None,2602000000,None,-3302000000,None,-1048000000,159000000,3661900000,USD,113474000000,46937000000,11714000000,11764000000,2573000000,25254000000,66536000000,14239000000,26887000000,28814000000,3205000000,25609000000,50000000,10422000000,50000000,6219000000,5329000000,90263000000,39843000000,7112000000,None,7858000000,7858000000,50862000000,None,21915000000,None,None,29773000000,5144000000,8851000000,23127000000,104073000000,97334000000,46975000000,1204800000,USD,12385000000,26666000000,14282000000,14013000000,4166000000,6030000000,1569000000,8316000000,None,-97000000,None,97000000,252000000,-97000000,898000000,309000000,4882900000,1221000000,97000000,3664000000,3402900000,4979900000,5288900000,3661900000,2011-07-18,3.09,3.03,0.06,1.9802,pre-market
2011-03-31,USD,3792000000,None,None,None,None,1228000000,1058000000,None,None,2863000000,498000000,-2314000000,2135000000,4045000000,4045000000,None,795000000,795000000,None,None,1054000000,None,-3168000000,None,2102000000,126000000,2860400000,USD,112960000000,47524000000,12763000000,13245000000,2549000000,10148000000,55184000000,14208000000,26557000000,28732000000,3324000000,25408000000,None,None,482000000,1000000,5380000000,90185000000,40387000000,6747000000,None,8508000000,8508000000,50224000000,None,21748000000,None,None,30257000000,5336000000,8330000000,22671000000,100078000000,94590000000,46278000000,1222200000,USD,10858000000,24607000000,13749000000,13506000000,2448000000,5826000000,1587000000,8372000000,None,-93000000,None,93000000,131000000,202000000,918000000,310000000,3814400000,954000000,93000000,2863000000,6347400000,3907400000,4217400000,2860400000,2011-04-19,2.41,2.3,0.11,4.7826,pre-market
2010-12-31,USD,6795000000,None,None,None,None,1790000000,4321000000,-489000000,92000000,5257000000,-4082000000,-1860000000,-588000000,3601000000,3601000000,None,808000000,808000000,None,None,3390000000,None,-2452000000,None,802000000,-52000000,5253400000,USD,113452000000,48116000000,10661000000,11651000000,2450000000,10834000000,56114000000,14096000000,26193000000,28624000000,3488000000,25136000000,None,None,990000000,5790000000,5778000000,90279000000,40562000000,7804000000,None,6778000000,6778000000,54524000000,None,25863000000,4017000000,21846000000,28624000000,5156000000,8226000000,23046000000,96161000000,92532000000,45418000000,1227993544,USD,14227000000,29018000000,14792000000,14487000000,5178000000,5951000000,1578000000,9285000000,None,-101000000,None,101000000,-135000000,41000000,920000000,870000000,6951400000,1698000000,101000000,5258000000,9246400000,7052400000,7922400000,5253400000,2011-01-18,4.18,4.08,0.1,2.451,pre-market
2010-09-30,USD,4551000000,None,None,None,None,1203000000,146000000,None,None,3589000000,-1780000000,-3455000000,-568000000,3653000000,3653000000,None,818000000,818000000,None,None,2164000000,None,-2855000000,None,-466000000,218000000,3586400000,USD,107174000000,44469000000,9859000000,11086000000,2629000000,9717000000,53257000000,14009000000,25927000000,25750000000,3047000000,22703000000,None,None,1227000000,1000000,6166000000,84815000000,35443000000,7084000000,None,5556000000,5556000000,49794000000,None,21899000000,None,None,27455000000,4745000000,8842000000,22238000000,92707000000,88095000000,44328000000,1255200000,USD,11001000000,24271000000,13270000000,13021000000,3959000000,5149000000,1464000000,6256000000,None,-95000000,None,95000000,881000000,106000000,914000000,289000000,4674400000,1088000000,95000000,3589000000,8207400000,4769400000,5058400000,3586400000,2010-10-18,2.82,2.75,0.07,2.5455,pre-market
2010-06-30,USD,3766000000,None,None,None,None,1183000000,141000000,None,None,3386000000,-1946000000,-3746000000,300000000,4104000000,4104000000,None,833000000,833000000,None,None,1311000000,None,-3162000000,None,-2147000000,-220000000,3385000000,USD,103420000000,44895000000,10325000000,12241000000,2595000000,9051000000,49339000000,13534000000,24758000000,23070000000,2526000000,20544000000,None,None,1916000000,-1000000,6038000000,82244000000,34993000000,7233000000,None,5633000000,5633000000,47627000000,None,21017000000,None,None,26650000000,4539000000,8295000000,21059000000,89276000000,85323000000,43522000000,1278600000,USD,10809000000,23724000000,12915000000,12641000000,3858000000,5061000000,1475000000,7041000000,None,-90000000,None,90000000,None,95000000,899000000,284000000,4575000000,1190000000,90000000,3385000000,6438000000,4665000000,4949000000,3385000000,2010-07-19,2.61,2.58,0.03,1.1628,pre-market
2010-03-31,USD,4437000000,None,None,None,None,1210000000,146000000,None,None,2601000000,-699000000,-3368000000,1673000000,4017000000,4017000000,None,718000000,718000000,None,None,1190000000,None,-3132000000,None,289000000,-81000000,2601000000,USD,105208000000,45697000000,12472000000,13977000000,2524000000,9324000000,49968000000,13841000000,25178000000,23507000000,2618000000,20889000000,None,None,1505000000,-1000000,5794000000,83059000000,34575000000,6345000000,None,5014000000,5014000000,48483000000,None,21305000000,None,None,26319000000,5285000000,8506000000,22033000000,85238000000,82783000000,42665000000,1301200000,USD,9976000000,22857000000,12880000000,12608000000,2504000000,5677000000,1509000000,7554000000,None,-82000000,None,82000000,None,545000000,924000000,286000000,3515000000,914000000,82000000,2601000000,2601000000,3597000000,3883000000,2601000000,2010-04-19,1.97,1.93,0.04,2.0725,pre-market
2009-12-31,USD,6448000000,None,None,None,None,1265000000,3601000000,None,263000000,4813000000,-2495000000,-1206000000,-500000000,3064000000,3064000000,None,727000000,727000000,None,None,4269000000,None,-1514000000,None,2652000000,-95000000,4813000000,USD,109022000000,48935000000,12183000000,13974000000,2494000000,10736000000,49443000000,14165000000,25431000000,22703000000,2513000000,20190000000,None,None,1791000000,-1000000,5379000000,86267000000,36002000000,7436000000,None,4168000000,4168000000,50266000000,None,24154000000,2222000000,None,26100000000,5223000000,8819000000,22637000000,81243000000,80900000000,41810000000,1318329640,USD,13145000000,27230000000,14085000000,13784000000,5827000000,5560000000,1460000000,7399000000,None,-81000000,None,81000000,-142000000,None,967000000,298000000,6381000000,1568000000,81000000,4813000000,21253000000,6462000000,6760000000,4813000000,2010-01-19,3.59,3.47,0.12,3.4582,pre-market
2009-09-30,USD,5198000000,None,None,None,None,1258000000,157000000,None,None,3214000000,-2337000000,-5168000000,783000000,929000000,929000000,None,726000000,726000000,None,None,445000000,None,51000000,None,-2147000000,160000000,3214000000,USD,103675000000,43446000000,9532000000,11512000000,2546000000,9426000000,50000000000,14189000000,25600000000,21708000000,2436000000,19272000000,None,None,1980000000,5766000000,5051000000,85182000000,32960000000,6145000000,None,4885000000,4885000000,52221000000,None,20583000000,None,None,25468000000,5704000000,9863000000,18396000000,78411000000,76812000000,40482000000,1319900000,USD,10627000000,23566000000,12938000000,12637000000,4168000000,5013000000,1446000000,6543000000,None,-84000000,None,84000000,418000000,None,953000000,305000000,4373000000,1159000000,84000000,3214000000,3214000000,4457000000,4762000000,3214000000,2009-10-15,2.4,2.38,0.02,0.8403,pre-market
2009-06-30,USD,4741000000,None,None,None,None,1242000000,863000000,None,None,3103000000,-1849000000,-3743000000,-1115000000,1671000000,None,None,732000000,732000000,None,None,1056000000,None,-1671000000,None,-616000000,235000000,3103000000,USD,103655000000,44435000000,11678000000,12526000000,2691000000,9561000000,49022000000,13948000000,24721000000,21317000000,2580000000,18737000000,None,None,848000000,1000000,4813000000,88182000000,36430000000,5869000000,None,8504000000,8504000000,51751000000,None,20868000000,None,None,29372000000,5562000000,9141000000,15380000000,77679000000,74328000000,39774000000,1326100000,USD,10581000000,23250000000,12669000000,12366000000,4032000000,5115000000,1434000000,6650000000,None,-101000000,None,101000000,None,None,936000000,1242000000,4262000000,1159000000,101000000,3103000000,3103000000,4363000000,4032000000,3103000000,2009-07-16,2.32,2.02,0.3,14.8515,pre-market
2009-03-31,USD,4386000000,None,None,None,None,1229000000,760000000,None,None,2295000000,-48000000,-4583000000,181000000,1765000000,None,None,675000000,675000000,None,None,913000000,None,-1765000000,None,-447000000,-202000000,2295000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-20,1.7,1.66,0.04,2.4096,pre-market
2008-12-31,USD,6621000000,None,None,None,None,1321000000,1381000000,None,None,4427000000,None,-2870000000,-4502000000,740000000,None,None,669000000,669000000,None,None,5578000000,None,-740000000,None,2986000000,116000000,4427000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-20,3.28,3.03,0.25,8.2508,pre-market
2008-09-30,USD,3738000000,None,None,None,None,1379000000,1126000000,None,None,2824000000,None,-1881000000,750000000,2674000000,None,None,677000000,677000000,None,None,1438000000,None,-2674000000,None,129000000,-233000000,2823000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-16,2.05,2.03,0.02,0.9852,pre-market
2008-06-30,USD,4251000000,None,None,None,None,1403000000,1168000000,None,None,2765000000,None,-4287000000,None,None,None,None,685000000,685000000,None,None,None,None,-4737000000,None,None,None,2765000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-17,1.98,1.82,0.16,8.7912,pre-market
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-04-16,1.65,1.45,0.2,13.7931,pre-market
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-01-17,2.8,2.68,0.12,4.4776,pre-market
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-10-16,1.68,1.67,0.01,0.5988,pre-market
2007-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-18,1.5,1.47,0.03,2.0408,pre-market
2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-04-17,1.21,1.21,0,0,pre-market
2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-18,2.26,2.19,0.07,3.1963,pre-market
2006-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-17,1.45,1.35,0.1,7.4074,pre-market
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-18,1.3,1.29,0.01,0.7752,pre-market
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-18,1.08,1.05,0.03,2.8571,pre-market
2005-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-17,2.11,1.94,0.17,8.7629,pre-market
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-17,1.26,1.13,0.13,11.5044,pre-market
2005-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-18,1.12,1.03,0.09,8.7379,pre-market
2005-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-14,0.85,0.9,-0.05,-5.5556,pre-market
2004-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-18,1.81,1.76,0.05,2.8409,pre-market
2004-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-18,1.17,1.14,0.03,2.6316,pre-market
2004-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-15,1.16,1.12,0.04,3.5714,pre-market
2004-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-04-15,0.93,0.93,0,0,pre-market
2003-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-01-15,1.56,1.5,0.06,4,pre-market
2003-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-15,1.02,1.02,0,0,pre-market
2003-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-07-16,0.97,0.98,-0.01,-1.0204,pre-market
2003-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04-14,0.79,0.8,-0.01,-1.25,pre-market
2002-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-01-16,1.34,1.3,0.04,3.0769,pre-market
2002-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-10-16,0.99,0.96,0.03,3.125,pre-market
2002-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-17,0.89,0.83,0.06,7.2289,pre-market
2002-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-17,0.68,0.68,0,0,pre-market
2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-01-17,1.33,1.32,0.01,0.7576,pre-market
2001-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-16,0.9,0.89,0.01,1.1236,pre-market
2001-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-18,1.21,1.15,0.06,5.2174,pre-market
2001-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-04-18,1,0.98,0.02,2.0408,pre-market
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-01-17,1.48,1.46,0.02,1.3699,pre-market
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-10-17,1.08,1.08,0,0,pre-market
2000-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-07-19,1.06,1,0.06,6,pre-market
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-18,0.83,0.78,0.05,6.4103,pre-market
1999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-19,1.12,1.06,0.06,5.6604,pre-market
1999-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-10-20,0.9,0.89,0.01,1.1236,pre-market
1999-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-07-19,0.91,0.88,0.03,3.4091,pre-market
1999-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-04-21,0.78,0.7,0.08,11.4286,pre-market
1998-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-01-21,1.24,1.22,0.02,1.6393,pre-market
1998-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-10-20,0.78,0.77,0.01,1.2987,pre-market
1998-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-07-20,0.77,0.75,0.02,2.6667,pre-market
1998-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-04-20,0.53,0.53,0,0,pre-market
1997-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-20,1.08,1.07,0.01,0.9346,pre-market
1997-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-10-20,0.69,0.68,0.01,1.4706,pre-market
1997-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-07-21,0.73,0.71,0.02,2.8169,pre-market
1997-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-04-23,0.59,0.58,0.01,1.7241,pre-market
1996-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-21,0.98,0.99,-0.01,-1.0101,pre-market
1996-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-10-21,0.61,0.61,0,0,pre-market
1996-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-07-25,0.63,0.61,0.02,3.2787,pre-market
1996-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-04-17,0.55,0.6,-0.05,-8.3333,pre-market
